lock type,id,cpuid,loop,lock_acquires,lock_hold(ms),duration
Flat Combining,0,0,6250361,167002,168.642,5
Flat Combining,1,1,18673565,166937,503.882,5
Flat Combining,2,2,5338793,166911,168.343,5
Flat Combining,3,3,17179119,166888,503.169,5
Flat Combining,4,4,4797071,166881,168.642,5
Flat Combining,5,5,17372957,166877,502.855,5
Flat Combining,6,6,5008871,166872,168.360,5
Flat Combining,7,7,18666769,166870,503.661,5
Flat Combining,8,8,6236920,166864,168.387,5
Flat Combining,9,9,18665280,166859,503.560,5
Flat Combining,10,10,4611965,166859,168.164,5
Flat Combining,11,11,17301934,166855,503.061,5
Flat Combining,12,12,4866277,166852,168.285,5
Flat Combining,13,13,17174053,166850,502.770,5
Flat Combining,14,14,4761852,166847,168.059,5
Flat Combining,15,15,18662976,166845,503.518,5
